character,season,episode,title,airdate,rating,n_lines,md_F1_mean,md_F2_mean,inout_F1_mean,ep_order,season_f
Annie Leonhart,1,4,The Night of the Closing Ceremony - Humanity's Comeback (2),2013-04-28,8.2,4,-0.03469595765420955,-0.2651613434672977,-0.1499020386652518,1,Season 1
Annie Leonhart,1,16,What Needs to Be Done Now - Eve of the Counterattack (3),2013-07-28,8,2,-0.33563475829483863,-0.4483024216590574,-0.5695055342891525,2,Season 1
Annie Leonhart,1,23,Smile - Assault on Stohess (1),2013-09-15,8.4,11,-0.0295585511060881,0.17640496472897654,-0.0389485007244707,3,Season 1
Annie Leonhart,2,7,Close Combat,2017-05-13,9.7,5,-0.3195275279327047,-0.39589067237724823,-0.6287525543661148,4,Season 2
Annie Leonhart,4,3,The Door of Hope,2020-12-20,8.8,9,0.30687710117655137,0.17111725275127188,-0.3992082576048682,5,Season 4
Annie Leonhart,4,23,Sunset,2022-02-20,9,18,0.33251390883529525,-0.034591398155997544,-0.4025894937884216,6,Season 4
Annie Leonhart,4,25,Night of the End,2022-03-06,8.7,2,-0.12650467533526003,0.05251431154338658,-0.06961332865999584,7,Season 4
Annie Leonhart,4,26,Traitor,2022-03-13,9.3,4,0.3089810622530594,0.09697197580144096,0.4389437225274521,8,Season 4
Annie Leonhart,4,27,Retrospective,2022-03-20,9.5,1,-0.27031351793784003,0.09206638353920055,1.3721446753201731,9,Season 4
Armin Arlert,1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,8.4,6,-0.10133799648108215,0.09109003346099116,0.8419723023568844,10,Season 1
Armin Arlert,1,2,That Day - The Fall of Shiganshina (2),2013-04-14,8,4,0.4359532917668343,-0.0478142115980984,0.5110770590968091,11,Season 1
Armin Arlert,1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,7.8,3,-0.33563475829483863,-0.4483024216590574,0.509717706128331,12,Season 1
Armin Arlert,1,4,The Night of the Closing Ceremony - Humanity's Comeback (2),2013-04-28,8.2,3,-0.281943990421059,-0.27359659071969344,-0.6159454901772341,1,Season 1
Armin Arlert,1,5,First Battle - The Struggle for Trost (1),2013-05-05,8.4,2,-0.33563475829483863,-0.4483024216590574,0.848051278948089,13,Season 1
Armin Arlert,1,6,The World the Girl Saw - The Struggle for Trost (2),2013-05-12,8,1,-0.33563475829483863,-0.4483024216590574,-1.0239389968291144,14,Season 1
Armin Arlert,1,7,Small Blade - The Struggle for Trost (3),2013-05-19,8.6,6,0.9830989365913053,0.2045759167912266,0.11901665539711538,15,Season 1
Armin Arlert,1,8,I Can Hear His Heartbeat - The Struggle for Trost (4),2013-05-26,8.8,12,-0.029645457557462965,-0.07796076597169195,0.3888224655014863,16,Season 1
