character,season,episode,title,airdate,n_lines,md_F1_mean,md_F2_mean,inout_F1_mean,ep_order,season_f
Annie Leonhart,1,4,The Night of the Closing Ceremony - Humanity's Comeback (2),2013-04-28,4,-0.23253182058304478,-0.2229138040783495,0.5048481012845594,1,Season 1
Annie Leonhart,1,16,What Needs to Be Done Now - Eve of the Counterattack (3),2013-07-28,2,-0.23310192992892553,-0.3328491962516242,-0.8936648636093687,2,Season 1
Annie Leonhart,1,23,Smile - Assault on Stohess (1),2013-09-15,11,0.11972215590816802,0.14691796390509682,0.3308449902207212,3,Season 1
Annie Leonhart,2,7,Close Combat,2017-05-13,5,-0.23278604766139638,-0.11128926610559257,-0.6699027892263402,4,Season 2
Annie Leonhart,4,3,The Door of Hope,2020-12-20,9,0.41201678360598176,-0.1616782705090612,-0.27166337652001044,5,Season 4
Annie Leonhart,4,23,Sunset,2022-02-20,18,-0.2328929532387258,0.016466081950088834,-0.3325496089888646,6,Season 4
Annie Leonhart,4,25,Night of the End,2022-03-06,2,-0.23191737142569124,0.4980005417959943,0.22910703253428555,7,Season 4
Annie Leonhart,4,26,Traitor,2022-03-13,4,1.2180277709617804,0.14608779318527373,0.7875218374347288,8,Season 4
Annie Leonhart,4,27,Retrospective,2022-03-20,1,-0.23310192992892553,-0.3328491962516242,0.2370300809913092,9,Season 4
Armin Arlert,1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,6,0.41282788360292944,0.19589944429374798,1.1636839851055942,10,Season 1
Armin Arlert,1,2,That Day - The Fall of Shiganshina (2),2013-04-14,4,0.7347597008917397,0.035349024039136354,-0.048842537804069865,11,Season 1
Armin Arlert,1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,3,-0.23310192992892553,-0.3328491962516242,0.23002150043347164,12,Season 1
Armin Arlert,1,4,The Night of the Closing Ceremony - Humanity's Comeback (2),2013-04-28,3,-0.23310192992892553,-0.3328491962516242,-0.5170702013742438,1,Season 1
Armin Arlert,1,5,First Battle - The Struggle for Trost (1),2013-05-05,2,-0.23310192992892553,-0.3328491962516242,0.7965888482667058,13,Season 1
Armin Arlert,1,6,The World the Girl Saw - The Struggle for Trost (2),2013-05-12,1,-0.23310192992892553,-0.3328491962516242,-0.8857418151523451,14,Season 1
