season,episode,title,airdate,runtime,rating,character,sentence,emotion_label,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_neutral,emotion_sadness,emotion_surprise,sentiment_label,sentiment_negative,sentiment_neutral,sentiment_positive
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"Humanity was suddenly reminded that day of the terror of being at their mercy of the humiliation of being trapped inside a cage All soldiers, prepare for battle! We have one target! We will slay it and claim this spot as humanity's first stronghold beyond the walls! Target approaching! Split into five groups just as we practiced! We'll act as the bait! All assault squads, switch to omni-directional gear! Strike from all directions at once! Taste the power of humanity! Unknown are the names of the flowers that have been trampled Birds have fallen to the earth and long for the wind Prayers won't solve anything Only the will to fight can change the here and now! O pigs who laugh at the resolve to walk over corpses to move forward Livestock complacency? False prosperity? Give us the freedom of dying, starving wolves! The humiliation of being caged is what triggers us to fight back We hunters slaughter prey beyond the castle walls, consumed with surging bloodlust, as our crimson bows and arrows pierce scarlet holes into the twilight Huh? Mikasa We should be getting back.",fear,0.061751,0.009341,0.884378,0.004583,0.029198,0.00625,0.0045,negative,0.447088,0.44274,0.110172
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,What are we doing here? You were that deep asleep that you're still only half-awake? No It just feels like I had this really long dream or something What was it about? I can't remember Eren.,surprise,0.016345,0.023236,0.155611,0.002553,0.142412,0.012894,0.646949,negative,0.539117,0.441898,0.018985
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,Why are you crying? Huh? Listen! It was by God's great wisdom that the walls were built! The walls are His divine work! No one must be allowed to defile the walls! Don't you dare tell anyone I was crying.,anger,0.832933,0.037775,0.038248,0.003085,0.008271,0.012087,0.067602,neutral,0.259285,0.480355,0.26036
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Mikasa Ackerman,I won't.,neutral,0.312968,0.092159,0.027923,0.004817,0.350718,0.208176,0.003239,neutral,0.193698,0.65612,0.150182
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Mikasa Ackerman,"Still, crying for no real reason You should have your dad give you a checkup.",sadness,0.114424,0.019774,0.014525,0.003978,0.092613,0.741659,0.013028,negative,0.88065,0.109921,0.009429
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"Don't be stupid! I can't tell him! What are you cryin' about, Eren? Mr.",anger,0.644954,0.07766,0.111402,0.013471,0.022115,0.082371,0.048026,negative,0.667278,0.262629,0.070093
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"Hannes Did Mikasa get on your case about somethin'? Huh?! What makes you think I was crying?! Whoa, you reek of alcohol! It's like, come on, y'know? Oh.",surprise,0.088994,0.199343,0.022999,0.007948,0.01486,0.024787,0.641069,negative,0.877807,0.109649,0.012545
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,"You're drinking again You guys wanna join in? Actually, uhh Don't you have work? Yup! We're guardin' the gate today! We're stuck here all day, so we end up getting hungry and thirsty.",disgust,0.148466,0.248267,0.039184,0.059633,0.186515,0.150599,0.167336,neutral,0.377822,0.478606,0.143572
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,"If some booze happens to get into our drinks, so what? It's no big deal.",neutral,0.330959,0.132189,0.008557,0.008805,0.366942,0.004832,0.147716,neutral,0.443037,0.519665,0.037299
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"What if something happens?! Can you fight like that?! - Whadya mean, ""If something happens""? - You know what I mean! I'm talking about if they break the walls and get into the city! Oww Geez, Eren.",surprise,0.216658,0.246956,0.034991,0.010452,0.019866,0.022156,0.448921,negative,0.61988,0.320005,0.060115
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,Don't go yellin' like that.,anger,0.874847,0.031576,0.034582,0.004301,0.039178,0.011875,0.003641,negative,0.818613,0.163079,0.018308
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,"You've got spunk, doctor's son! If they do bust down the walls, we'll take care of business, don't you worry.",fear,0.175609,0.045662,0.614354,0.012815,0.076894,0.03673,0.037936,positive,0.040613,0.224011,0.735376
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,But that ain't happened once in the last one hundred years.,neutral,0.009277,0.009972,0.003016,0.003449,0.868247,0.008981,0.097057,neutral,0.431787,0.506751,0.061462
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Eren Yeager,"Still, my dad says there's nothing more dangerous than being complacent like that! Dr.",anger,0.482776,0.099498,0.207314,0.016126,0.113745,0.041915,0.038625,negative,0.681831,0.268515,0.049654
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,"Jaeger, huh? Yeah, he's got a point.",neutral,0.15924,0.290734,0.003628,0.02898,0.445509,0.008668,0.06324,positive,0.041948,0.412036,0.546017
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Unknown,He once saved this town from an epidemic.,neutral,0.00982,0.036623,0.033904,0.016701,0.869104,0.024983,0.008865,positive,0.044605,0.396649,0.558746
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,I can't argue with him.,anger,0.655452,0.159245,0.007616,0.002879,0.144194,0.026112,0.004502,neutral,0.190029,0.657378,0.152592
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,"Still, they're another story altogether.",neutral,0.011224,0.02623,0.002472,0.003687,0.942185,0.009013,0.005189,negative,0.618198,0.361755,0.020047
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,"When you're a soldier, you get to see those things roaming around outside while you're on wall reinforcement duty and stuff.",neutral,0.024064,0.086964,0.005746,0.022327,0.823011,0.005228,0.03266,neutral,0.151634,0.787223,0.061142
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,Hannes,"These walls are fifty meters tall, though.",neutral,0.028782,0.086495,0.017673,0.006801,0.656251,0.010879,0.193119,neutral,0.075435,0.851785,0.07278
