season,episode,title,airdate,runtime,rating,summary,tvmaze_id
1,1,"To You, in 2000 Years - The Fall of Shiganshina (1)",2013-04-07,25,8.4,"For over a century, humans have been living in settlements surrounded by gigantic walls, which prevent the Titans, giant humanoid creatures who eat humans, from entering. Young Eren Yeager wishes to see the outside world by joining the Recon Corps, as he likens living in the cities to livestock. Despite this, his foster sister Mikasa Ackerman and their mother Carla are against him in joining the Corps. Even after seeing the Recon Corps returning home with large casualties, Eren expresses his interest to join.",86778
1,2,That Day - The Fall of Shiganshina (2),2013-04-14,25,8.0,"Some of the Shiganshina townsfolk escape to the inner Wall Maria while the soldiers try to hold off the Titans. The soldiers try to close the gate, but one of the Titans rams the gate, breaching Wall Maria, and causing those inside to retreat even further to Wall Rose. During the next year, as a food shortage becomes apparent, the government orders the refugees to work at the farms or fight to reclaim Wall Maria.",86779
1,3,A Dim Light Amid Despair - Humanity's Comeback (1),2013-04-21,25,7.8,"Eren begins his training with the Cadet Corps, but questions about his painful past overwhelm him. When he struggles with a maneuvering exercise, Berholt and Reiner offer kindly advice.",86780
1,4,The Night of the Closing Ceremony - Humanity's Comeback (2),2013-04-28,25,8.2,"Annie proves her skill in a sparring session, Jan dreams of serving alongside the King, and graduation day brings shocking revelations - along with a sudden outbreak of violence.",86781
1,5,First Battle - The Struggle for Trost (1),2013-05-05,25,8.4,"Eren faces off against the Colossal Titan after it appears out of nowhere and knocks a strategic hole in the Rose Wall gate. As Titans swarm the city, the newly graduated Cadets are called in to fight in brutal battle that won't be without casualties.",86782
1,6,The World the Girl Saw - The Struggle for Trost (2),2013-05-12,25,8.0,"Armin tries to cope with the loss of his friends and allies after Titans massacre his squad. Elsewhere in the city, Mikasa manages to take out several of the monsters, which brings back tragic memories of her past and the first time she met Eren.",86783
1,7,Small Blade - The Struggle for Trost (3),2013-05-19,25,8.6,"After the retreat bell sounds, many cadets find themselves without enough fuel to scale the wall back to safety. Mikasa begins to lose hope once she hears of the deaths in Armin's squad, but the appearance of a new type of Titan stokes her will to fight.",86784
1,8,I Can Hear His Heartbeat - The Struggle for Trost (4),2013-05-26,25,8.8,"Armin comes up with a risky plan that pits Titan against Titan as the abandoned Cadets attempt to take back their headquarters. Getting into the building might be possible, but getting out alive and refueled will mean facing more of the giants.",86785
1,9,Whereabouts of His Left Arm - The Struggle for Trost (5),2013-06-02,25,8.5,A miraculous return is met with anger and fear. Cannons are fixed on Eren as he struggles to remember what happened to him inside the belly of a monster and how he ended up humankind's enemy. One question is all that matters: is Eren human or Titan?,86786
1,10,Response - The Struggle for Trost (6),2013-06-09,25,8.2,"Cadets respond to Eren's terrifying transformation with doubt and fear as he struggles to understand it himself. If Armin can't talk the commander into using Eren's newfound powers for the good of humankind, all hope of stopping the Titans might be lost.",86787
1,11,Idol - The Struggle for Trost (7),2013-06-16,25,7.9,"Plans are created to use Eren's Titan powers to seal the hole in the wall in an attempt reclaim Trost. But with the government's bloodstained history and vocal dissenters in the military ranks, the biggest threat to humankind may not be the Titans.",86788
1,12,Wound - The Struggle for Trost (8),2013-06-23,25,7.9,"The plan to reclaim Trost falls apart when Eren's newfound powers turn him into a mindless giant. As Titans continue to swarm the city, it's up to Armin and Mikasa to make sure the cadets massacred during the mission haven't died in vain.",86789
1,13,Primal Desire - The Struggle for Trost (9),2013-06-30,25,8.3,"After the skirmishes between the cadets and the Titans come to a close, the soldiers of Trost see Eren carrying the boulder to the breach and defend him with their lives.",86790
1,14,Can't Look Into His Eyes - Eve of the Counterattack (1),2013-07-14,25,8.2,"A special military tribunal will decide Eren's fate. The Military Police calls for his execution while the Scout Regiment argues that he is a powerful resource for humankind, and Mikasa is put on the spot when asked about the events of the Trost mission.",86791
1,15,Special Operations Squad - Eve of the Counterattack (2),2013-07-21,25,8.0,The Scout Regiment moves Eren to an old abandoned castle where he will continue his training. Hanzi visits and reveals that she's been putting two captured Titans through a series of tests and trials - experiments that she wants Eren's help with.,86792
1,16,What Needs to Be Done Now - Eve of the Counterattack (3),2013-07-28,25,8.0,"Everyone is a suspect in the investigation to find out who killed the two test-subject Titans. Meanwhile, the Cadets pick which corps they'll be joining, but after the harrowing events in the Trost attack, many are uncertain which branch to choose.",86793
1,17,Female Titan - The 57th Exterior Scouting Mission (1),2013-08-04,25,8.2,"As the Scout Regiment begins its push toward Shiganshina, they encounter an intelligent Female Titan unlike any they've seen before. When Armin hypothesizes that it's really a human that's been turned into a Titan, he, Jean, and Reiner attempt to stop it.",86794
1,18,Forest of Giant Trees - The 57th Exterior Scouting Mission (2),2013-08-11,25,8.7,"Armin, Reiner, and Jean are left stranded after their encounter with the Female Titan. Meanwhile, news reaches the centre group about their right flank being annihilated by the Female Titan as the latter continues to wreak havoc within the formation.",86795
1,19,Bite - The 57th Exterior Scouting Mission (3),2013-08-18,25,8.8,"Levi fires a noise round and tells the squad to keep moving forward. With more of the rearguard getting killed by the Female Titan, Eren begs his squad to let him fight but they tell him to trust Levi's decision. Eren starts remembering when Hange, Levi, and his squad had him try to transform into a Titan for experimental purposes.",86796
1,20,Erwin Smith - The 57th Exterior Scouting Mission (4),2013-08-25,25,8.7,"The Female Titan has been captured, and it's Erwin's goal to find out who the human is lurking inside it. Meanwhile, the Scouts realize that the reason Levi told no one about their true mission outside the wall is because there is a spy among their ranks.",86797
1,21,Crushing Blow - The 57th Exterior Scouting Mission (5),2013-09-01,25,8.9,"The mole transforms into the Female Titan. Eren wants to transform into his Titan form, but the squad tells him to trust in their skills and keep moving forward.",86798
1,22,The Defeated - The 57th Exterior Scouting Mission (6),2013-09-08,25,9.0,"Levi orders Mikasa to distract the Female Titan in order to get Eren back. As the Corps mourn, count their dead, and retrieve the bodies before returning home, Erwin orders that the fallen whose bodies were not retrieved be reported MIA.",86799
1,23,Smile - Assault on Stohess (1),2013-09-15,25,8.4,"In the Stohess District of Wall Sina, the Military Police are ordered to escort the Recon Corps convoy once they enter the capital. After the convoy has entered Stohess, Annie is secretly called by Armin in the alleyways.",86800
