sentence,episode,season,character
"Humanity was suddenly reminded that day of the terror of being at their mercy of the humiliation of being trapped inside a cage All soldiers, prepare for battle! We have one target! We will slay it and claim this spot as humanity's first stronghold beyond the walls! Target approaching! Split into five groups just as we practiced! We'll act as the bait! All assault squads, switch to omni-directional gear! Strike from all directions at once! Taste the power of humanity! Unknown are the names of the flowers that have been trampled Birds have fallen to the earth and long for the wind Prayers won't solve anything Only the will to fight can change the here and now! O pigs who laugh at the resolve to walk over corpses to move forward Livestock complacency? False prosperity? Give us the freedom of dying, starving wolves! The humiliation of being caged is what triggers us to fight back We hunters slaughter prey beyond the castle walls, consumed with surging bloodlust, as our crimson bows and arrows pierce scarlet holes into the twilight Huh? Mikasa We should be getting back.",1,1,
What are we doing here? You were that deep asleep that you're still only half-awake? No It just feels like I had this really long dream or something What was it about? I can't remember Eren.,1,1,
Why are you crying? Huh? Listen! It was by God's great wisdom that the walls were built! The walls are His divine work! No one must be allowed to defile the walls! Don't you dare tell anyone I was crying.,1,1,
I won't.,1,1,
"Still, crying for no real reason You should have your dad give you a checkup.",1,1,
"Don't be stupid! I can't tell him! What are you cryin' about, Eren? Mr.",1,1,
"Hannes Did Mikasa get on your case about somethin'? Huh?! What makes you think I was crying?! Whoa, you reek of alcohol! It's like, come on, y'know? Oh.",1,1,
"You're drinking again You guys wanna join in? Actually, uhh Don't you have work? Yup! We're guardin' the gate today! We're stuck here all day, so we end up getting hungry and thirsty.",1,1,
"If some booze happens to get into our drinks, so what? It's no big deal.",1,1,
"What if something happens?! Can you fight like that?! - Whadya mean, ""If something happens""? - You know what I mean! I'm talking about if they break the walls and get into the city! Oww Geez, Eren.",1,1,
Don't go yellin' like that.,1,1,
"You've got spunk, doctor's son! If they do bust down the walls, we'll take care of business, don't you worry.",1,1,
But that ain't happened once in the last one hundred years.,1,1,
"Still, my dad says there's nothing more dangerous than being complacent like that! Dr.",1,1,
"Jaeger, huh? Yeah, he's got a point.",1,1,
He once saved this town from an epidemic.,1,1,
I can't argue with him.,1,1,
"Still, they're another story altogether.",1,1,
"When you're a soldier, you get to see those things roaming around outside while you're on wall reinforcement duty and stuff.",1,1,
"These walls are fifty meters tall, though.",1,1,
I can't see 'em getting through.,1,1,
"Then you're not actually prepared to fight them at all?! Nope! Wh-What?! Then drop the ""Garrison Regiment"" name for ""Wall Construction Squad"" instead! Not a bad idea! But you gotta understand, Eren.",1,1,
"If a soldier's doing his job, things have seriously gone to hell.",1,1,
It's better when everyone's calling us useless freeloaders; it means peaceful times for us all.,1,1,
"Sure, we can stay inside the walls our entire lives and do nothing but eat and sleep! But that basically That basically makes us cattle! Man, you're one plucky kid, all right! For someone who's totally helpless! Right, Hannes?! Huh? Y-Yeah.",1,1,
Hey! Eren! What a weirdo! Wait Don't tell me he wants to join the Scout Regiment? Eren.,1,1,
I'd forget about the Scout Regiment if I were you.,1,1,
What?! You think the Scout Regiment is a joke too?! It's not about what I think.,1,1,
"The Scout Regiment is back! They're gonna open the front gate! Let's go see the heroes return, Mikasa! Ohm! Damn! I can't see! They're the only ones who made it back? Everyone else must've gotten eaten.",1,1,
This is what they get for going outside the walls.,1,1,
Moses! Moses! Excuse me I don't see my son Moses anywhere Do you know where he is? This is Moses' mother.,1,1,
Go get it.,1,1,
It's all we could retrieve.,1,1,
"But my son He was helpful, yes? Even if he didn't achieve direct greatness surely my son's death helped humanity fight back, yes?! Of course! No On this latest scouting mission, we No Just like all the other missions we achieved nothing at all! My incompetence has done nothing but needlessly send soldiers to their deaths! We haven't found out anything about them! Talk about gruesome.",1,1,
You can say that again.,1,1,
Our taxes are basically going to feeding and fattening those things up now.,1,1,
"What the hell, you little punk?! H-Hey! What are you doing, Mikasa?! Hey! Get back here, you! Mikasa! Enough already! What's the big idea?! Now the firewood's all over the place! Eren.",1,1,
Have you changed your mind about joining the Scout Regiment? Help pick this up.,1,1,
It's not that bad of a mess.,1,1,
We're home.,1,1,
Welcome back.,1,1,
"Wow, Eren! You actually worked hard! Yeah What do you want? Your ear's red.",1,1,
That shows that you're lying.,1,1,
"You had Mikasa help you, didn't you? Oh? You're leaving, Dad? Is it for work? Yes.",1,1,
Some checkups in the interior.,1,1,
It'll take a couple of days.,1,1,
Eren says he wants to join the Scout Regiment.,1,1,
"M-Mikasa! I told you not to say anything! Eren! What are you thinking?! Do you have any idea how many people have died outside the walls?! - Y-Yeah, I know! - Then! Eren.",1,1,
"Why do you want to go out there? I want to know what the outside world is like! I don't want to live my entire life in ignorance inside the walls! Plus If no one else is willing to take their place, then the lives of all who've died will be for nothing! I see.",1,1,
My boat's about to leave.,1,1,
I better get going.,1,1,
"Hold on, dear! Talk some sense into Eren! Carla.",1,1,
Words can't hold back human curiosity.,1,1,
Eren.,1,1,
"When I get back, I'll show you the basement that I've kept secret all this time.",1,1,
R-Really?! Take care! Just forget it.,1,1,
"Joining the Scout Regiment is a stupid idea! Huh?! Stupid?! People who don't mind living like livestock are the stupid ones, if you ask me! Eren! Mikasa.",1,1,
He gets himself into trouble so easily.,1,1,
"If anything ever happens, you need to be there for each other! Mm.",1,1,
"What's the matter, heretic?! If you don't like it, let's see you hit back! Y-Yeah, right! That would be stooping to your level! Say what?! You know I'm right! That's why you have to resort to violence! Because you can't argue back! Which means you concede defeat to me, does it not?! Shut up, smart-ass! Stop that! It's Eren! - That Idiot's back for more?! - Does he want his ass kicked?! We'll tear you a new one! M-Mikasa's with him! S-Screw this! Let's get outta here! One look at me and they ran off! No, it was Mikasa they saw Oww! Hey! You Okay.",1,1,
Armin?! I can get up on my own Oh.,1,1,
I said humanity needs to venture into the outside world at some point and then they beat me up and called me a heretic.,1,1,
"Damn Why does everyone look down on people just for wanting to go outside?! Well, because we've had a hundred years of peace by staying inside the walls.",1,1,
They're worried that going outside carelessly will invite them inside the walls.,1,1,
The royal government's policies have made having any interest in the outside world a taboo.,1,1,
It's our lives! We can risk 'em if we want! Absolutely not.,1,1,
Forget about it.,1,1,
"Which reminds me, I can't believe you told my parents! Huh? I never agreed to help.",1,1,
"So, what did they say? They're less than pleased.",1,1,
It figures.,1,1,
"Indeed, I think people are crazy if they think we'll be safe inside these walls forever.",1,1,
"Mommy! Just because the walls haven't fallen for a hundred years doesn't guarantee that they won't fall today And yet Wh-What was that?! An explosion?! - That way! - Did something fall?! I'm not really sure Hey, Armin! What is it?! What do you see?! It can't be! Th-That wall is fifty meters high! It's one of them A Titan! L-it opened a hole in the wall They're inside! The Titans have gotten inside! We need to run too! Eren! My house is in that direction! Mom! Mikasa! It's all over Countless Titans are going to overrun the city! It couldn't have hit our home! Just around this corner our house is standing there, like always! Mom! Mom! - Eren! - Mikasa! Grab that end! We gotta move this pillar! Hurry, Mikasa! I know! The Titans have gotten inside, haven't they? Eren! Take Mikasa and run away! Hurry! I want to! So hurry and get out of there! The debris has crushed my legs Even if I could get out, I wouldn't be able to run.",1,1,
You understand what that means.,1,1,
"I'll carry you, then! Why don't you ever listen to your mother?! You can at least do this one last thing! Mikasa! No No! If you don't go, all three of us will Hannes! Take the children and get out of here! Don't go underestimatin' me, Carla.",1,1,
"I'm gonna slaughter these Titans and save all three of ya! Wait! Don't fight them! Yeah, I could save those two for sure.",1,1,
But now I'm finally going to repay the favor I owe! Hey! Mr.,1,1,
"Hannes! What are you doing?! - Thank you - Hey! Mom's still! Eren! Mikasa! You have to survive! Don't go Stop! Humanity was suddenly reminded that day of the terror of being at their mercy of the humiliation of being trapped inside a cage Your dreams are where your heart is They're more fragile than life itself Over and over you cast them aside, only to find more Now, rest in peace Pounding impulses defile the things we wish for and the more we forget the more we remember again In this beautiful, cruel world all I can do is ask why we're still alive Oh, with our strength and our weakness what are we going to protect if there's no sense to anything anymore? Shiganshina falls.",1,1,
"Prayers, screams, and death are all that humanity is allowed.",1,1,
"Amid this, Eren alone swears revenge in his small heart.",1,1,
"Over a century ago, beings that prey on humans suddenly appeared.",2,1,
Their absolutely overwhelming strength quickly pushed humanity to the brink of extinction.,2,1,
"The surviving humans constructed three walls: Maria, Rose, and Sina, which brought them a century of peace.",2,1,
"However Unknown are the names of the flowers that have been trampled Birds have fallen to the earth and long for the wind Prayers won't solve anything Only the will to fight can change the here and now! O pigs who laugh at the resolve to walk over corpses to move forward Livestock complacency? False prosperity? Give us the freedom of dying, starving wolves! The humiliation of being caged is what triggers us to fight back We hunters slaughter prey beyond the castle walls, consumed with surging bloodlust, as our crimson bows and arrows pierce scarlet holes into the twilight Till that time I had been a wretched soul, and wholly giv'n to greed! Now, as thou see'st, I'm punished for it here! What avarice doth is here made manifest, in this purgation of converted souls! Nor hath this Mount a penalty more bitter! Stop! Let me go! O Avarice! Thou hast to thyself so drawn my race, that ev'n for its own flesh it careth not! What more canst thou do with us?! O Avarice! Thou hast to thyself Eren! What are you doing?! We were so close to saving Mom! Why couldn't you mind your own business?! - We were so close to saving her! - Knock it off, dammit! Eren! Eren.",2,1,
You couldn't save your mother because you lacked the strength.,2,1,
And I I couldn't stand up to the Titan because I lacked the courage! I'm sorry.,2,1,
It's happened again Hurry! To the inner gate! Escape aboard the boats there! Hurry! Before you get eaten! City districts like Shiganshina that stick out in vital spots along the wall serve to attract the Titans and streamline security costs and troop numbers.,2,1,
"Performing true to its role as a Titan target, Shiganshina had but one inner gate through which its citizens could flee.",2,1,
"Discard your belongings! Let as many people on as possible! Sit, Armin.",2,1,
But Eren and Mikasa still aren't here.,2,1,
There they are! Eren? Just let him be for now.,2,1,
The poor thing.,2,1,
"How very traumatized he must be Huh? What are you dawdling for?! Hurry the hell up! Get those cannons loaded! Hurry! They're closing in! This can't be for real! Please, God Please, God Please, God Hey! Hey! What are you doing?! It's at full capacity! It has to leave! No! Please! At least let our children on! I'm sorry, but we can't! Get going! - Let us on! - Let us on! You idiot! What are you aiming at?! B-But, Sir, these aren't accurate enough to aim with! I don't give a crap! Get 'em reloaded at once! It's no use! The gate's closing! Retreat! We're gonna get left behind! Hey! Don't shut it! Hold on a little longer! There are still lots of people in there! If the Titans get through, the town being overrun will be the least of our worries! All of humankind will be forced to withdraw behind the next wall! But that's no reason to leave these people to die! Shut it! Hurry! The Titans are coming! Close the gate at once! Stop! Hey! What the? It's! Fire! - What?! - No effect?! It's! It's coming! Retreat! A Titan's coming! It's charging this way! Hurry! Shut the gate! The gate Within hours of the fall of Shiganshina on the south side of Wall Maria, news of the incident had reached every city inside human territory.",2,1,
"Is it true the Titans have overrun Shiganshina?! I can't believe this! The walls have held strong for a century! Why now?! Whether we believe it or not, the fact is that refugees have fled here by boat! Reports say there are five hundred on board.",2,1,
"The question is if Shiganshina is all that was affected But, surely they couldn't have gotten through Wall Maria as well? In any event, we must contact the central government and request instructions.",2,1,
This crisis is far too much for us to handle on our own.,2,1,
I'm sorry to interrupt! A courier horse has just arrived! Titans have breached Wall Maria and entered its interior! It's over It's all over The Titans are going to devour humanity again This is the end? I'll never see that house ever again Why?! Why'd I argue for no reason like that?! Why was that all I could do?! And now Mom's gone! She's never coming back! Why?! Because you lacked the strength.,2,1,
It's because I'm weak Because humans are weak ls crying the only thing the weak can do?! I'm going to Eren.,2,1,
"What's gotten into you, Eren? Eren drive them out! I'm going to drive out every last one from this world! Eren The same year, the central government made the decision to withdraw all of humanity's domain behind Wall Rose.",2,1,
"An estimated 10,000 people were eaten by Titans during this time.",2,1,
"Eren Carla Mikasa Please be all right! Eren! Eren! Eren! Eren! Dad! Stop, Dad! What are you trying to do?! Just give me your arm! No! Mom's death has made you go crazy! Eren! Let go, Dad! It's for your own sake! What are you talking about?! Listen! Don't forget the key! You must reach it! Until you learn the truth someday! Eren.",2,1,
Are you okay? You were having a nightmare.,2,1,
I feel like I just saw Dad No.,2,1,
You were dreaming.,2,1,
Oh Let's go.,2,1,
They said they're going to hand out food.,2,1,
Apparently this was their food storehouse.,2,1,
They've gathered all the boat refugees here.,2,1,
"- Hey! Get in line, will ya?! - Shut up! I ain't eaten anything since last night! We can't say we've survived just yet.",2,1,
Eren! Mikasa! Armin Here! Just in time! My grandpa got us some by saying it was for children! Thank you.,2,1,
What's his problem? You can't blame him.,2,1,
There's probably not enough food to go around.,2,1,
And that's an entire day's worth.,2,1,
There are just too many refugees.,2,1,
"There was already a food shortage going on, plus the people here aren't treated as well as citizens on the outer wall.",2,1,
"- This is mine! - Shut up! Why should we hafta give our food to some lousy outsiders? If the Titans got through the wall, they could've at least eaten some more people, if you ask me! Eren! This is just gonna make the food shortage even worse.",2,1,
